Continent,Gender,Age,Age ID,Year,Population
Asia,Female,0-4,1,1950,98.18
Asia,Female,0-4,1,2000,175.324
Asia,Female,0-4,1,2050,148.989
Asia,Female,5-9,2,1950,77.407
Asia,Female,5-9,2,2000,178.335
Asia,Female,5-9,2,2050,152.455
Asia,Female,10-14,3,1950,72.841
Asia,Female,10-14,3,2000,191.163
Asia,Female,10-14,3,2050,155.511
Asia,Female,15-19,4,1950,67.429
Asia,Female,15-19,4,2000,170.388
Asia,Female,15-19,4,2050,158.49
Asia,Female,20-24,5,1950,59.399
Asia,Female,20-24,5,2000,156.161
Asia,Female,20-24,5,2050,160.876
Asia,Female,25-29,6,1950,52.4
Asia,Female,25-29,6,2000,158.659
Asia,Female,25-29,6,2050,164.304
Asia,Female,30-34,7,1950,47.449
Asia,Female,30-34,7,2000,151.477
Asia,Female,30-34,7,2050,168.367
Asia,Female,35-39,8,1950,42.785
Asia,Female,35-39,8,2000,130.054
Asia,Female,35-39,8,2050,168.522
Asia,Female,40-44,9,1950,37.359
Asia,Female,40-44,9,2000,110.268
Asia,Female,40-44,9,2050,166.044
Asia,Female,45-49,10,1950,31.99
Asia,Female,45-49,10,2000,100.732
Asia,Female,45-49,10,2050,161.576
Asia,Female,50-54,11,1950,26.646
Asia,Female,50-54,11,2000,76.144
Asia,Female,50-54,11,2050,160.954
Asia,Female,55-59,12,1950,22.169
Asia,Female,55-59,12,2000,60.531
Asia,Female,55-59,12,2050,161.448
Asia,Female,60-64,13,1950,18.562
Asia,Female,60-64,13,2000,53.345
Asia,Female,60-64,13,2050,167.68
Asia,Female,65-69,14,1950,13.625
Asia,Female,65-69,14,2000,43.953
Asia,Female,65-69,14,2050,141.332
Asia,Female,70-74,15,1950,9.031
Asia,Female,70-74,15,2000,32.1
Asia,Female,70-74,15,2050,118.503
Asia,Female,75-79,16,1950,5.187
Asia,Female,75-79,16,2000,21.13
Asia,Female,75-79,16,2050,104.705
Asia,Female,80-84,17,1950,2.224
Asia,Female,80-84,17,2000,12.001
Asia,Female,80-84,17,2050,77.591
Asia,Female,85-89,18,1950,0.675
Asia,Female,85-89,18,2000,5.261
Asia,Female,85-89,18,2050,42.801
Asia,Female,90+,19,1950,0.202
Asia,Female,90+,19,2000,1.873
Asia,Female,90+,19,2050,25.832
Asia,Male,0-4,1,1950,102.44
Asia,Male,0-4,1,2000,191.585
Asia,Male,0-4,1,2050,158.491
Asia,Male,5-9,2,1950,82.697
Asia,Male,5-9,2,2000,193.761
Asia,Male,5-9,2,2050,162.104
Asia,Male,10-14,3,1950,78.274
Asia,Male,10-14,3,2000,204.662
Asia,Male,10-14,3,2050,165.613
Asia,Male,15-19,4,1950,72.071
Asia,Male,15-19,4,2000,181.182
Asia,Male,15-19,4,2050,169.205
Asia,Male,20-24,5,1950,64.259
Asia,Male,20-24,5,2000,165.104
Asia,Male,20-24,5,2050,173.034
Asia,Male,25-29,6,1950,55.42
Asia,Male,25-29,6,2000,167.112
Asia,Male,25-29,6,2050,178.136
Asia,Male,30-34,7,1950,50.615
Asia,Male,30-34,7,2000,158.287
Asia,Male,30-34,7,2050,183.406
Asia,Male,35-39,8,1950,45.61
Asia,Male,35-39,8,2000,136.41
Asia,Male,35-39,8,2050,183.891
Asia,Male,40-44,9,1950,39.594
Asia,Male,40-44,9,2000,115.741
Asia,Male,40-44,9,2050,181.352
Asia,Male,45-49,10,1950,34.128
Asia,Male,45-49,10,2000,105.157
Asia,Male,45-49,10,2050,175.779
Asia,Male,50-54,11,1950,28.145
Asia,Male,50-54,11,2000,77.845
Asia,Male,50-54,11,2050,172.224
Asia,Male,55-59,12,1950,22.656
Asia,Male,55-59,12,2000,61.734
Asia,Male,55-59,12,2050,168.562
Asia,Male,60-64,13,1950,17.765
Asia,Male,60-64,13,2000,53.413
Asia,Male,60-64,13,2050,168.57
Asia,Male,65-69,14,1950,12.109
Asia,Male,65-69,14,2000,42.126
Asia,Male,65-69,14,2050,137.08
Asia,Male,70-74,15,1950,7.549
Asia,Male,70-74,15,2000,29.116
Asia,Male,70-74,15,2050,110.169
Asia,Male,75-79,16,1950,4.007
Asia,Male,75-79,16,2000,16.862
Asia,Male,75-79,16,2050,91.409
Asia,Male,80-84,17,1950,1.497
Asia,Male,80-84,17,2000,8.407
Asia,Male,80-84,17,2050,61.39
Asia,Male,85-89,18,1950,0.411
Asia,Male,85-89,18,2000,3.06
Asia,Male,85-89,18,2050,30.086
Asia,Male,90+,19,1950,0.099
Asia,Male,90+,19,2000,0.8
Asia,Male,90+,19,2050,13.783
Africa,Female,0-4,1,1950,19.129
Africa,Female,0-4,1,2000,64.712
Africa,Female,0-4,1,2050,137.478
Africa,Female,5-9,2,1950,14.824
Africa,Female,5-9,2,2000,55.96
Africa,Female,5-9,2,2050,131.297
Africa,Female,10-14,3,1950,12.918
Africa,Female,10-14,3,2000,50.363
Africa,Female,10-14,3,2050,124.514
Africa,Female,15-19,4,1950,11.518
Africa,Female,15-19,4,2000,44.296
Africa,Female,15-19,4,2050,116.871
Africa,Female,20-24,5,1950,10.091
Africa,Female,20-24,5,2000,37.203
Africa,Female,20-24,5,2050,108.589
Africa,Female,25-29,6,1950,8.668
Africa,Female,25-29,6,2000,30.799
Africa,Female,25-29,6,2050,100.324
Africa,Female,30-34,7,1950,7.428
Africa,Female,30-34,7,2000,25.576
Africa,Female,30-34,7,2050,92.321
Africa,Female,35-39,8,1950,6.301
Africa,Female,35-39,8,2000,21.391
Africa,Female,35-39,8,2050,83.892
Africa,Female,40-44,9,1950,5.453
Africa,Female,40-44,9,2000,17.759
Africa,Female,40-44,9,2050,72.805
Africa,Female,45-49,10,1950,4.603
Africa,Female,45-49,10,2000,14.502
Africa,Female,45-49,10,2050,62.09
Africa,Female,50-54,11,1950,3.917
Africa,Female,50-54,11,2000,11.804
Africa,Female,50-54,11,2050,52.945
Africa,Female,55-59,12,1950,3.165
Africa,Female,55-59,12,2000,9.624
Africa,Female,55-59,12,2050,45.123
Africa,Female,60-64,13,1950,2.493
Africa,Female,60-64,13,2000,7.881
Africa,Female,60-64,13,2050,37.975
Africa,Female,65-69,14,1950,1.826
Africa,Female,65-69,14,2000,6.233
Africa,Female,65-69,14,2050,30.291
Africa,Female,70-74,15,1950,1.208
Africa,Female,70-74,15,2000,4.348
Africa,Female,70-74,15,2050,21.819
Africa,Female,75-79,16,1950,0.648
Africa,Female,75-79,16,2000,2.634
Africa,Female,75-79,16,2050,14.13
Africa,Female,80-84,17,1950,0.281
Africa,Female,80-84,17,2000,1.234
Africa,Female,80-84,17,2050,7.846
Africa,Female,85-89,18,1950,0.088
Africa,Female,85-89,18,2000,0.405
Africa,Female,85-89,18,2050,3.392
Africa,Female,90+,19,1950,0.024
Africa,Female,90+,19,2000,0.098
Africa,Female,90+,19,2050,1.193
Africa,Male,0-4,1,1950,19.441
Africa,Male,0-4,1,2000,66.395
Africa,Male,0-4,1,2050,141.657
Africa,Male,5-9,2,1950,14.907
Africa,Male,5-9,2,2000,57.149
Africa,Male,5-9,2,2050,134.895
Africa,Male,10-14,3,1950,12.977
Africa,Male,10-14,3,2000,51.347
Africa,Male,10-14,3,2050,127.743
Africa,Male,15-19,4,1950,11.642
Africa,Male,15-19,4,2000,44.856
Africa,Male,15-19,4,2050,119.698
Africa,Male,20-24,5,1950,10.141
Africa,Male,20-24,5,2000,37.343
Africa,Male,20-24,5,2050,110.888
Africa,Male,25-29,6,1950,8.666
Africa,Male,25-29,6,2000,30.521
Africa,Male,25-29,6,2050,102.142
Africa,Male,30-34,7,1950,7.405
Africa,Male,30-34,7,2000,25.006
Africa,Male,30-34,7,2050,93.741
Africa,Male,35-39,8,1950,6.273
Africa,Male,35-39,8,2000,21.036
Africa,Male,35-39,8,2050,84.853
Africa,Male,40-44,9,1950,5.355
Africa,Male,40-44,9,2000,17.322
Africa,Male,40-44,9,2050,73.069
Africa,Male,45-49,10,1950,4.432
Africa,Male,45-49,10,2000,14.054
Africa,Male,45-49,10,2050,61.621
Africa,Male,50-54,11,1950,3.622
Africa,Male,50-54,11,2000,11.144
Africa,Male,50-54,11,2050,51.712
Africa,Male,55-59,12,1950,2.863
Africa,Male,55-59,12,2000,8.784
Africa,Male,55-59,12,2050,43.003
Africa,Male,60-64,13,1950,2.172
Africa,Male,60-64,13,2000,6.985
Africa,Male,60-64,13,2050,34.924
Africa,Male,65-69,14,1950,1.547
Africa,Male,65-69,14,2000,5.398
Africa,Male,65-69,14,2050,26.658
Africa,Male,70-74,15,1950,0.981
Africa,Male,70-74,15,2000,3.58
Africa,Male,70-74,15,2050,18.281
Africa,Male,75-79,16,1950,0.499
Africa,Male,75-79,16,2000,2.049
Africa,Male,75-79,16,2050,11.04
Africa,Male,80-84,17,1950,0.211
Africa,Male,80-84,17,2000,0.89
Africa,Male,80-84,17,2050,5.588
Africa,Male,85-89,18,1950,0.06
Africa,Male,85-89,18,2000,0.258
Africa,Male,85-89,18,2050,2.192
Africa,Male,90+,19,1950,0.014
Africa,Male,90+,19,2000,0.048
Africa,Male,90+,19,2050,0.673
